station_id,station_name,timezone,recommendation,best_day_ahead_window,best_day_ahead_top1,best_day_ahead_top3,best_day_ahead_prob,best_peak_block,best_peak_sample_count,best_peak_pws_hit,best_peak_market_hit,best_peak_edge,best_lead_bucket,best_lead_bucket_mae_c,best_lead_bucket_hit_1c,best_pws_station_id,best_pws_source,best_pws_name,best_pws_mae_c,best_pws_hit_1c,best_pws_row_count,best_pws_rank_eligible,avg_wu_minus_official_f
KORD,Chicago O'Hare International,America/Chicago,Peak-hour candidate,D-1 00-06,0.12707900207900208,0.48336798336798337,0.21765591966173362,11-13 local,9,0.2222222222222222,0.0,0.2222222222222222,05-15,0.5105563600782779,0.7912589693411611,KILBENSE15,WUNDERGROUND,Bensenville,0.3601297202797203,0.9125874125874126,286,True,3.099999999999998
KLGA,New York LaGuardia,America/New_York,Day-ahead value candidate,D-1 18-24,0.23497904052165813,0.47088961341406615,0.25799865546218487,15-17 local,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,15-30,1.118325541490858,0.5043600562587904,KLGA,SYNOPTIC,"New York, La Guardia Airport",0.42731092436974794,0.9537815126050421,238,True,5.74
EGLC,London City Airport,Europe/London,Day-ahead value candidate,D-1 00-06,0.2602618149545152,0.6161526514311072,0.27596895074946465,11-13 local,14,0.0,0.35714285714285715,-0.35714285714285715,15-30,0.5881905636638148,0.8598389531957725,IWOODF28,WUNDERGROUND,Woodford Green,0.37405333333333335,0.9833333333333333,60,False,3.2399999999999998
KMIA,Miami International,America/New_York,Day-ahead value candidate,D-1 00-06,0.22104998744034163,0.7701582516955539,0.22978736498367244,13-15 local,5,0.0,0.4,-0.4,30-45,0.7295813253012048,0.7560240963855421,KFLMIAMI1010,WUNDERGROUND,Westchester,0.4303055299539171,0.8571428571428571,217,True,1.4199999999999988
KDAL,Dallas Love Field,America/Chicago,Peak-hour candidate,D-1 00-06,0.24987012987012988,0.2948051948051948,0.6717034129692833,13-15 local,5,0.2,0.0,0.2,15-30,0.7647084995663487,0.6882914137033824,KTXDALLA1236,WUNDERGROUND,Bluffview,0.46270540540540545,0.8513513513513513,222,True,1.319999999999999
KATL,Hartsfield-Jackson Atlanta,America/New_York,Selective only,D-1 18-24,0.1251459257529769,0.3681998599112771,0.38600970588235295,11-13 local,18,0.05555555555555555,0.0,0.05555555555555555,05-15,1.3808264556962027,0.48227848101265824,KATL,SYNOPTIC,"Atlanta, Hartsfield - Jackson Atlanta International Airport",0.6192139737991267,0.834061135371179,229,False,1.1700000000000017
LFPG,Paris Charles de Gaulle,Europe/Paris,Day-ahead value candidate,D-1 00-06,0.16978122151321787,0.49453053783044665,0.21674012869260018,13-15 local,21,0.5714285714285714,0.6190476190476191,-0.04761904761904767,30-45,0.9549773195876289,0.6288659793814433,ISAINT685,WUNDERGROUND,Saint-Cloud,0.48793478260869566,0.9565217391304348,23,False,1.0800000000000012
LTAC,Ankara Esenboga Airport,Europe/Istanbul,Day-ahead value candidate,D-1 00-06,0.2789748242231799,0.37582218190065775,0.2504257651895843,13-15 local,9,0.1111111111111111,0.5555555555555556,-0.4444444444444445,15-30,3.269947530120482,0.15843373493975904,IYIILC4,WUNDERGROUND,Yığılca,1.9494965909090909,0.3522727272727273,88,False,0.9
