market_station_id,pws_station_id,source,station_name,distance_km,row_count,lead_row_count,now_row_count,lead_mae_c,lead_bias_c,lead_hit_rate_0_5_c,lead_hit_rate_1_0_c,lead_avg_minutes,now_mae_c,now_bias_c,now_hit_rate_0_5_c,now_hit_rate_1_0_c,current_weight_predictive,current_weight,current_next_metar_score,current_predictive_score,current_rank_eligible,current_learning_phase,current_now_samples,current_lead_samples,observed_rank_score
LTAC,IANKAR46,WUNDERGROUND,Ankara,23.400000000000002,719,352,367,2.7086505681818185,2.677717613636364,0.06818181818181818,0.11931818181818182,24.913980113636363,2.619439237057221,2.6109623978201637,0.043596730245231606,0.1008174386920981,,,,,False,,,,-16.572
LTAC,IANKAR59,WUNDERGROUND,Ankara,24.873885350318474,158,70,88,5.658735714285714,5.658735714285714,0.0,0.0,24.89577142857143,6.036619318181818,6.036619318181818,0.0,0.0,,,,,False,,,,-63.9048
LTAC,IANKARA23,WUNDERGROUND,iLKO Melolido. Suburban.,38.863473053892214,167,72,95,5.677475,5.677475,0.0,0.0,25.207222222222224,6.211697894736842,6.211697894736842,0.0,0.0,0.9106,0.9188,2.22,0.1,True,READY,2,2,-64.1297
LTAC,IANKARAA11,WUNDERGROUND,Turkkonut,20.7,22,9,13,0.7777777777777778,-0.3827333333333333,0.4444444444444444,0.8888888888888888,24.22222222222222,0.615376923076923,0.35896153846153844,0.46153846153846156,0.8461538461538461,,,,,False,,,,81.3556
LTAC,IDILOV5,WUNDERGROUND,Dilovasi,302.3,101,49,52,4.249424489795919,4.140583673469387,0.10204081632653061,0.12244897959183673,18.859816326530613,4.3119576923076925,4.1282000000000005,0.07692307692307693,0.1346153846153846,,,,,False,,,,-34.7482
LTAC,IEGIRD1,WUNDERGROUND,Egirdir,288.0,1,0,1,,,,,,8.1111,8.1111,0.0,0.0,0.9308,0.9232,1.83,0.49,True,READY,2,1,-108.0
LTAC,IERFEL2,WUNDERGROUND,Erfelek,269.2,234,108,126,2.446500925925926,2.343621296296296,0.1388888888888889,0.2962962962962963,24.920175925925925,2.205468253968254,2.041447619047619,0.1984126984126984,0.35714285714285715,,,,,False,,,,4.2716
LTAC,IETIME4,WUNDERGROUND,Bahçekapı,29.68888888888889,505,228,277,4.94347149122807,4.94347149122807,0.0043859649122807015,0.0043859649122807015,24.41386403508772,5.286804332129964,5.286804332129964,0.0,0.0036101083032490976,0.9348,0.9161,1.83,2.37,True,READY,3,1,-54.8831
LTAC,IGLBAI3,WUNDERGROUND,Gölbaşı,48.1,12,5,7,4.066660000000001,4.066660000000001,0.0,0.0,24.2366,3.7142857142857144,3.7142857142857144,0.0,0.0,,,,,False,,,,-47.7999
LTAC,IISTAN74,WUNDERGROUND,Şile,304.1,12,5,7,5.1778,5.1778,0.0,0.0,24.346600000000002,5.3016000000000005,5.3016000000000005,0.0,0.0,0.9304,0.9344,1.05,0.13,False,WARMUP,1,1,-61.1336
LTAC,IKARAM13,WUNDERGROUND,Camcukur,291.3,100,49,51,4.160997959183674,4.160997959183674,0.0,0.0,25.011857142857142,4.230937254901961,4.230937254901961,0.058823529411764705,0.09803921568627451,,,,,False,,,,-45.932
LTAC,IKARAM16,WUNDERGROUND,Camcukur,290.9,100,49,51,4.002275510204082,4.002275510204082,0.0,0.08163265306122448,25.19661224489796,4.139433333333333,4.100221568627451,0.058823529411764705,0.11764705882352941,,,,,False,,,,-35.864
LTAC,IKARAMRS3,WUNDERGROUND,EREGLI,284.2,1,0,1,,,,,,7.5556,7.5556,0.0,0.0,0.9305,0.9344,1.39,0.18,False,WARMUP,1,1,-108.0
LTAC,IKOCAELI6,WUNDERGROUND,Yarimca,279.5,1,0,1,,,,,,8.6667,8.6667,0.0,0.0,0.9305,0.9227,0.8,0.15,True,READY,2,1,-108.0
LTAC,IKONYA25,WUNDERGROUND,Konya,257.4,3,1,2,2.2222,2.2222,0.0,0.0,25.983,0.5,-0.27780000000000005,0.5,1.0,,,,,False,,,,-26.4664
LTAC,IKRFEZ4,WUNDERGROUND,Körfez,285.4,161,76,85,2.587719736842105,2.1900618421052633,0.11842105263157894,0.21052631578947367,24.650473684210525,2.8352917647058824,2.1738541176470587,0.12941176470588237,0.2,,,,,False,,,,-6.0
LTAC,ISIVRI2,WUNDERGROUND,Yaveroren,164.29999999999998,96,45,51,3.017284444444445,3.002471111111111,0.044444444444444446,0.1111111111111111,24.31857777777778,3.352943137254902,3.352943137254902,0.0196078431372549,0.058823529411764705,,,,,False,,,,-21.0963
LTAC,ITASOV1,WUNDERGROUND,Tasova,299.4,107,50,57,2.0266640000000002,1.808884,0.14,0.28,24.278319999999997,1.9688017543859648,1.754377192982456,0.15789473684210525,0.24561403508771928,,,,,False,,,,7.68
LTAC,IVEZIR2,WUNDERGROUND,Vezirköprü,257.5,1,0,1,,,,,,5.3333,5.3333,0.0,0.0,0.9315,0.9352,5.56,1.17,False,WARMUP,1,1,-108.0
LTAC,IYIILC4,WUNDERGROUND,Yığılca,163.5989247311828,186,88,98,1.9494965909090909,1.6843488636363637,0.1590909090909091,0.3522727272727273,24.83276136363636,1.8571428571428572,1.417234693877551,0.22448979591836735,0.41836734693877553,,,,,False,,,,15.8333
LTAC,IZNIK1,WUNDERGROUND,İznik,293.9,99,48,51,4.902785416666666,4.902785416666666,0.0,0.020833333333333332,24.945666666666668,4.873645098039216,4.873645098039216,0.0784313725490196,0.11764705882352941,,,,,False,,,,-52.7501
LTAC,IZNIK4,WUNDERGROUND,İznik,275.0,99,49,50,2.6984142857142857,2.6984142857142857,0.02040816326530612,0.1836734693877551,25.025816326530613,2.7399959999999997,2.695552,0.1,0.24,,,,,False,,,,-10.0136
LTAC,W_5KM,OPEN_METEO,,,1,1,0,0.3,-0.3,1.0,1.0,20.0,,,,,,,,,False,,,,96.6
