source,row_count,station_count,mae_c,bias_c,hit_rate_0_5_c,hit_rate_1_0_c,p50_abs_error_c,p90_abs_error_c
MADIS_APRSWXNET,24692,135,0.954453308763972,-0.23509980965494898,0.28559857443706466,0.6104811274906853,0.5889,2.2222
MADIS_MesoWest,1326,33,1.151317496229261,-0.21148190045248869,0.3469079939668175,0.5912518853695324,0.8,2.678
OPEN_METEO,1909,10,1.0672079622839183,-0.6020429544264012,0.3488737558931378,0.5856469355683604,0.8,2.3
SYNOPTIC,34554,95,0.8540805695433236,-0.22400474619436245,0.3541413439833304,0.6589106905133993,0.58,2.0
WUNDERGROUND,49950,282,1.091952936936937,0.20039288888888887,0.3474074074074074,0.6310910910910911,0.5889,2.6667
