lead_bucket,row_count,station_count,mae_c,bias_c,hit_rate_0_5_c,hit_rate_1_0_c,p50_abs_error_c,p90_abs_error_c
05-15,5185,359,0.9216932111861138,-0.02927631629701061,0.3454194792671167,0.64725168756027,0.5667,2.2111
15-30,48549,435,1.0005539207810665,-0.05950299491235659,0.3221487569259923,0.628313662485324,0.59,2.2444
30-45,1801,260,1.182889783453637,-0.006063020544142146,0.2909494725152693,0.5674625208217657,0.7778,2.7444
